2020-08-06 22:35:43 install libgpg-error0:amd64 <none> 1.27-6
2020-08-06 22:35:43 status half-installed libgpg-error0:amd64 1.27-6
2020-08-06 22:35:43 status unpacked libgpg-error0:amd64 1.27-6
2020-08-06 22:35:43 status unpacked libgpg-error0:amd64 1.27-6
2020-08-06 22:35:43 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2020-08-06 22:35:43 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2020-08-06 22:35:43 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-08-06 22:35:43 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-08-06 22:35:43 install liblzma5:amd64 <none> 5.2.2-1.3
2020-08-06 22:35:43 status half-installed liblzma5:amd64 5.2.2-1.3
2020-08-06 22:35:43 status unpacked liblzma5:amd64 5.2.2-1.3
2020-08-06 22:35:43 status unpacked liblzma5:amd64 5.2.2-1.3
2020-08-06 22:35:43 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:35:43 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:43 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:43 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-08-06 22:35:43 install libncurses5:amd64 <none> 6.1-1ubuntu1
2020-08-06 22:35:43 status half-installed libncurses5:amd64 6.1-1ubuntu1
2020-08-06 22:35:43 status unpacked libncurses5:amd64 6.1-1ubuntu1
2020-08-06 22:35:43 status unpacked libncurses5:amd64 6.1-1ubuntu1
2020-08-06 22:35:43 install libncursesw5:amd64 <none> 6.1-1ubuntu1
2020-08-06 22:35:43 status half-installed libncursesw5:amd64 6.1-1ubuntu1
2020-08-06 22:35:43 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2020-08-06 22:35:43 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2020-08-06 22:35:43 install libpam-modules:amd64 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 install libpam-modules-bin:amd64 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 install libpam0g:amd64 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2020-08-06 22:35:43 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
